Entity,Year,Annual CO₂ emissions from coal (per capita)
Africa,2002,0.41353047
Africa,2003,0.43666783
Africa,2004,0.45493284
Africa,2005,0.43796515
Africa,2006,0.4335285
Africa,2007,0.43389568
Africa,2008,0.44801843
Africa,2009,0.4076284
Africa,2010,0.40289938
Africa,2011,0.38668603
Africa,2012,0.3820619
Africa,2013,0.37314257
Africa,2014,0.3751898
Africa,2015,0.3478749
Africa,2016,0.34497145
Africa,2017,0.33099017
Africa,2018,0.32140768
Africa,2019,0.34375954
Africa,2020,0.31442946
Africa,2021,0.3006257
Africa,2022,0.27978373
Africa,2023,0.2705059
Albania,1933,0
Albania,1934,0
Albania,1935,0
Albania,1936,0
Albania,1937,0
Albania,1938,0
Albania,1939,0
Albania,1940,0
Albania,1941,0
Albania,1942,0
Albania,1943,0
Albania,1944,0
Albania,1945,0
Albania,1946,0.018598543
Albania,1947,0
Albania,1948,0.006052062
Albania,1949,0
Albania,1950,0.034805354
Albania,1951,0.05741309
Albania,1952,0.058238156
Albania,1953,0.0845382
Albania,1954,0.11407826
Albania,1955,0.15494184
Albania,1956,0.1710242
Albania,1957,0.18345048
Albania,1958,0.1874738
Albania,1959,0.21133739
Albania,1960,0.19770667
Albania,1961,0.18949494
Albania,1962,0.20802207
Albania,1963,0.15749998
Albania,1964,0.1810665
Albania,1965,0.2085426
Albania,1966,0.24461205
Albania,1967,0.26086432
Albania,1968,0.2851363
Albania,1969,0.32386893
Albania,1970,0.40858883
Albania,1971,0.44263205
Albania,1972,0.47215113
Albania,1973,0.49861866
Albania,1974,0.5043519
Albania,1975,0.5134362
Albania,1976,0.5067948
Albania,1977,0.6619677
Albania,1978,0.810144
Albania,1979,0.9997617
Albania,1980,0.84922004
Albania,1981,0.94756114
Albania,1982,1.0115894
Albania,1983,1.0682514
Albania,1984,1.1467915
Albania,1985,1.2301133
Albania,1986,1.2008995
Albania,1987,1.1862948
Albania,1988,1.2504979
Albania,1989,1.2440453
Albania,1990,0.7623171
Albania,1991,0.45093915
Albania,1992,0.24369399
Albania,1993,0.18303177
Albania,1994,0.0515517
Albania,1995,0.049474448
Albania,1996,0.03499543
Albania,1997,0.013613796
Albania,1998,0.017084962
Albania,1999,0.034515504
Albania,2000,0.021960761
Albania,2001,0.025606578
Albania,2002,0.026888791
Albania,2003,0.027026784
Albania,2004,0.027196245
Albania,2005,0.02380114
Albania,2006,0.023996953
Albania,2007,0.02421857
Albania,2008,0.03427808
Albania,2009,0.13114493
Albania,2010,0.14637335
Albania,2011,0.18373485
Albania,2012,0.215307
Albania,2013,0.27345446
Albania,2014,0.35433963
Albania,2015,0.11123584
Albania,2016,0.06574765
Albania,2017,0.09474658
Albania,2018,0.16330971
Albania,2019,0.11176106
Albania,2020,0.19774711
Albania,2021,0.30064398
Albania,2022,0.29551548
Albania,2023,0.28047132
Algeria,1916,0
Algeria,1917,0.0006385992
Algeria,1918,0.002541546
Algeria,1919,0.002630997
Algeria,1920,0.0031336637
Algeria,1921,0.0043493058
Algeria,1922,0.0037683567
Algeria,1923,0.0018255027
Algeria,1924,0.0037447067
Algeria,1925,0.0041666767
Algeria,1926,0.005887177
Algeria,1927,0.008734009
Algeria,1928,0.006910651
Algeria,1929,0.006528984
Algeria,1930,0.0067330953
Algeria,1931,0.008610112
Algeria,1932,0.00978886
Algeria,1933,0.011756235
Algeria,1934,0.013127187
Algeria,1935,0.014056442
Algeria,1936,0.0025349753
Algeria,1937,0.0049818396
Algeria,1938,0.0044057337
Algeria,1939,0.006737911
Algeria,1940,0.018936941
Algeria,1941,0.027024498
Algeria,1942,0.04909271
Algeria,1943,0.038421687
Algeria,1944,0.038460862
Algeria,1945,0.051332437
Algeria,1946,0.06710761
Algeria,1947,0.063451335
Algeria,1948,0.068492696
Algeria,1949,0.079615936
Algeria,1950,0.20882764
Algeria,1951,0.2201593
Algeria,1952,0.19356695
Algeria,1953,0.15836294
Algeria,1954,0.14817873
Algeria,1955,0.15553561
Algeria,1956,0.16800822
Algeria,1957,0.1842683
Algeria,1958,0.16524331
Algeria,1959,0.13065107
Algeria,1960,0.11000085
Algeria,1961,0.06581143
Algeria,1962,0.03444191
Algeria,1963,0.021099437
Algeria,1964,0.023163585
Algeria,1965,0.021345256
Algeria,1966,0.021535706
Algeria,1967,0.014790563
Algeria,1968,0.01530463
Algeria,1969,0.03343176
Algeria,1970,0.0704425
Algeria,1971,0.06392992
Algeria,1972,0.044952143
Algeria,1973,0.055563442
Algeria,1974,0.046243347
Algeria,1975,0.05047217
Algeria,1976,0.035723012
Algeria,1977,0.035528943
Algeria,1978,0.032648925
Algeria,1979,0.04956662
Algeria,1980,0.08644494
Algeria,1981,0.099324904
Algeria,1982,0.09937907
Algeria,1983,0.15310714
Algeria,1984,0.18929775
Algeria,1985,0.1398439
Algeria,1986,0.11984859
Algeria,1987,0.12659474
Algeria,1988,0.12339673
Algeria,1989,0.120631054
Algeria,1990,0.11594473
Algeria,1991,0.103485554
Algeria,1992,0.089300185
Algeria,1993,0.07052085
Algeria,1994,0.081981406
Algeria,1995,0.067951486
Algeria,1996,0.04846119
Algeria,1997,0.046699144
Algeria,1998,0.07022209
Algeria,1999,0.07129485
Algeria,2000,0.06343019
Algeria,2001,0.06689199
Algeria,2002,0.082163766
Algeria,2003,0.08665839
Algeria,2004,0.05895498
Algeria,2005,0.07137822
Algeria,2006,0.08031191
Algeria,2007,0.08809181
Algeria,2008,0.08640174
Algeria,2009,0.044908993
Algeria,2010,0.03361551
Algeria,2011,0.028395016
Algeria,2012,0.027542835
Algeria,2013,0.018885529
Algeria,2014,0.013924793
Algeria,2015,0.012543078
Algeria,2016,0
Algeria,2017,0.020741627
Algeria,2018,0.034134265
Algeria,2019,0.027674476
Algeria,2020,0.012312585
Algeria,2021,0.024721287
Algeria,2022,0.017041083
Algeria,2023,0.014920862
Andorra,1990,0
Andorra,1991,0
Andorra,1992,0
Andorra,1993,0
Andorra,1994,0
Andorra,1995,0
Andorra,1996,0
Andorra,1997,0
Andorra,1998,0
Andorra,1999,0
Andorra,2000,0
Andorra,2001,0
Andorra,2002,0
Andorra,2003,0
Andorra,2004,0
Andorra,2005,0
Andorra,2006,0
Andorra,2007,0
Andorra,2008,0
Andorra,2009,0
Andorra,2010,0
Andorra,2011,0
Andorra,2012,0
Andorra,2013,0
Andorra,2014,0
Andorra,2015,0
Andorra,2016,0
Andorra,2017,0
Andorra,2018,0
Andorra,2019,0
Andorra,2020,0
Andorra,2021,0
Andorra,2022,0
Andorra,2023,0
Angola,1950,0.0131365815
Angola,1951,0.020698015
Angola,1952,0.025993116
Angola,1953,0.014791905
Angola,1954,0.01597389
Angola,1955,0.017437603
Angola,1956,0.008218137
Angola,1957,0.01618423
Angola,1958,0.008687374
Angola,1959,0.010681996
Angola,1960,0.023654234
Angola,1961,0.0118443845
Angola,1962,0.017054658
Angola,1963,0.004064837
Angola,1964,0.014081509
Angola,1965,0.009952947
Angola,1966,0.01575521
Angola,1967,0.009741556
Angola,1968,0.017950779
Angola,1969,0.015913581
Angola,1970,0.008129967
Angola,1971,0.004887405
Angola,1972,0.0011858894
Angola,1973,0.003441165
Angola,1974,0
Angola,1975,0
Angola,1976,0
Angola,1977,0
Angola,1978,0
Angola,1979,0
Angola,1980,0
Angola,1981,0
Angola,1982,0
Angola,1983,0
Angola,1984,0
Angola,1985,0
Angola,1986,0
Angola,1987,0
Angola,1988,0
Angola,1989,0
Antigua and Barbuda,1950,0.053737186
Antigua and Barbuda,1951,0.24041857
Antigua and Barbuda,1952,0.051522695
Antigua and Barbuda,1953,0.050474163
Antigua and Barbuda,1954,0
Antigua and Barbuda,1955,0.04847703
Antigua and Barbuda,1956,0.047529183
Argentina,1856,0.013673803
Argentina,1857,0.032908835
Argentina,1858,0.041893065
Argentina,1859,0.026321769
Argentina,1860,0.031573337
Argentina,1861,0.03730976
Argentina,1862,0.029855374
Argentina,1863,0.042573165
Argentina,1864,0.03507302
Argentina,1865,0.058306683
Argentina,1866,0.089572854
Argentina,1867,0.06245207
Argentina,1868,0.0895038
Argentina,1869,0.10059324
Argentina,1870,0.08947428
Argentina,1871,0.09374776
Argentina,1872,0.088586494
Argentina,1873,0.09527532
Argentina,1874,0.10954309
Argentina,1875,0.061874352
Argentina,1876,0.058640223
Argentina,1877,0.044949133
Argentina,1878,0.035060696
Argentina,1879,0.08051388
Argentina,1880,0.07901757
Argentina,1881,0.12160134
Argentina,1882,0.13154578
Argentina,1883,0.17834175
Argentina,1884,0.2360082
Argentina,1885,0.26492643
Argentina,1886,0.26444587
Argentina,1887,0.3945215
Argentina,1888,0.37945464
Argentina,1889,0.6034034
Argentina,1890,0.43143836
Argentina,1891,0.3115949
Argentina,1892,0.46903446
Argentina,1893,0.4500921
Argentina,1894,0.50758815
Argentina,1895,0.59021986
Argentina,1896,0.5575416
Argentina,1897,0.5284933
Argentina,1898,0.509013
Argentina,1899,0.5839936
Argentina,1900,0.4323882
Argentina,1901,0.49588075
Argentina,1902,0.50725186
Argentina,1903,0.55892307
Argentina,1904,0.6886952
Argentina,1905,0.8258431
Argentina,1906,1.0618477
Argentina,1907,0.89841384
Argentina,1908,0.9333934
Argentina,1909,0.8349688
Argentina,1910,1.0245539
Argentina,1911,1.2129529
Argentina,1912,1.1945292
Argentina,1913,1.265253
Argentina,1914,1.0844775
Argentina,1915,0.68347967
Argentina,1916,0.48100483
Argentina,1917,0.22646423
Argentina,1918,0.1124091
Argentina,1919,0.3248451
Argentina,1920,0.54879403
Argentina,1921,0.41745886
Argentina,1922,0.49769643
Argentina,1923,0.5971918
Argentina,1924,0.7734284
Argentina,1925,0.7128821
Argentina,1926,0.62038374
Argentina,1927,0.7750917
Argentina,1928,0.69451815
Argentina,1929,0.6814171
Argentina,1930,0.6557924
Argentina,1931,0.54789793
Argentina,1932,0.5011656
Argentina,1933,0.5023221
Argentina,1934,0.552861
Argentina,1935,0.52545595
Argentina,1936,0.549623
Argentina,1937,0.5885699
Argentina,1938,0.53186184
Argentina,1939,0.49699575
Argentina,1940,0.36597547
